"ID","Group","Title","Pre-conditions","Steps","Expected Result","Type","Priority","Status"
"TC-U-037","API","Files parse endpoint","Uploaded file + mapping","POST /api/v1/files/parse","200 + parsed rows","unit","High","Current"
"TC-U-038","API","Files compare endpoint","Two uploaded files","POST /api/v1/files/compare","200 + comparison result","unit","High","Current"
"TC-U-039","API","Webhook trigger validates payload","Webhook router","POST /api/v1/webhook with bad body","422 with error details","unit","Medium","Current"
"TC-U-040","API","Path traversal blocked on upload","Crafted filename with ..","POST upload","400 Bad Request","unit","High","Current"
"TC-U-041","API","Download template containment check","Template name","GET /api/v1/templates/<bad-path>","404 with no file leak","unit","High","Current"
"TC-U-042","API","API tester runs request and asserts","Saved request","POST /api/v1/api-tester/run","Assertions evaluated","unit","Medium","Current"
"TC-U-043","API","DB Compare endpoint with named connection","db_connections.yaml profile","POST /api/v1/db-compare","Profile resolved; no plain-text password","unit","High","Current"
"TC-U-044","Auth","LDAPS login success","auth.enabled=true; LDAP reachable","POST /auth/login valid creds","Signed cookie issued","unit","High","Current"
"TC-U-045","Auth","LDAPS login failure logs audit event","Invalid creds","POST /auth/login bad creds","ldap_login_failure in audit.jsonl","unit","High","Current"
"TC-U-046","Auth","Session cookie HMAC verification","Tampered cookie","GET with mutated cookie","Falls back to unauthenticated","unit","High","Current"
"TC-U-047","Auth","Open-redirect guard on ?next=","Crafted next param","GET /auth/login?next=//evil","Only same-site paths accepted","unit","High","Current"
"TC-U-048","Auth","LDAP filter injection guard","Username with parens","POST /auth/login","Filter escaped per RFC 4515","unit","High","Current"
"TC-U-049","Auth","Fail-closed missing signing key","auth.enabled=true; key unset","Server startup","RuntimeError; refuse to start","unit","High","Current"
"TC-U-050","Auth","RBAC role from group mapping","User in valdo-admins","Login flow","role=admin in session","unit","Medium","Current"
"TC-U-051","Security","IP whitelist middleware","whitelist set","Request from non-listed IP","403 Forbidden","unit","High","Current"
"TC-U-052","Security","X-Forwarded-For right-to-left walk","trust_proxy=true","XFF with spoofed left IP","First untrusted addr wins","unit","High","Current"
"TC-U-053","Security","Callback URL allowlist (SSRF)","callback_allowlist set","Webhook with off-list host","Rejected","unit","High","Current"
"TC-U-054","Security","URL validator blocks loopback","Default SSRF blocks","Submit URL pointing to 127.0.0.1","Rejected","unit","High","Current"
"TC-U-055","Security","TLS key chmod 0600 on POSIX","TLS strategy = self_signed","Resolve TLS","Generated key has mode 0600","unit","Medium","Current"
"TC-U-056","Security","No shell=True in scripts","Static scan","Run no_shell_true test","Zero offenders","unit","Medium","Current"
"TC-U-057","Reporting","HTML report renders metrics tiles","Validation result","HTMLReporter.generate()","Output contains Elapsed/Errors/Quality","unit","High","Current"
"TC-U-058","Reporting","JSON report includes elapsed_seconds","Validation result","Serialize result","elapsed_seconds present","unit","Medium","Current"
"TC-U-059","Reporting","PII scrubbing redacts fields","--suppress-pii default on","Render HTML report","Raw field values redacted","unit","High","Current"
"TC-U-060","Reporting","Export errors CSV writes failed rows","--export-errors path","Run validate","CSV written with failed rows only","unit","Medium","Current"
"TC-U-061","Reporting","Chunked vs standard report parity","Same input","Render both","Field-level totals match","unit","High","Current"
"TC-U-062","Reporting","Suite renderer aggregates step results","Suite YAML","Run suite","Single HTML with per-step rows","unit","Medium","Current"
"TC-U-063","Reporting","Validation renderer surfaces violation codes","Rule with code","Render report","Code shown in details","unit","Medium","Current"
"TC-U-064","Workflows","Run-tests command end-to-end","Suite YAML","valdo run-tests --suite ...","Exits 0 on all pass, 1 on any fail","unit","High","Current"
"TC-U-065","Workflows","ETL pipeline runs gates in order","Pipeline YAML","valdo run-etl-pipeline ...","Gates run; blocking failure short-circuits","unit","High","Current"
"TC-U-066","Workflows","Watch detects .trigger files","Watch dir","Drop foo.trigger","Matching suite executed","unit","High","Current"
"TC-U-067","Workflows","Workflow engine wrapper parity","Same inputs","CLI vs API workflow","Identical result shape","unit","High","Current"
"TC-U-068","Workflows","Scheduler service registers job","Scheduler config","Register job","Job scheduled and idempotent","unit","Medium","Current"
"TC-U-069","Masking","Preserve_format strategy keeps width","Field width=10","Mask value","Output length=10","unit","High","Current"
"TC-U-070","Masking","Deterministic_hash stable across runs","Same seed","Mask same value twice","Identical output","unit","High","Current"
"TC-U-071","Masking","Redact replaces field","Strategy=redact","Mask field","Output is redacted token","unit","Medium","Current"
"TC-U-072","Masking","Fake_name preserves dataset shape","Strategy=fake_name","Mask name field","Plausible synthetic name","unit","Medium","Current"
"TC-U-073","Quality","GE Checkpoint1 runs config-driven","Targets + expectations CSV","valdo gx-checkpoint1 ...","Summary json with success/failure","unit","High","Current"
"TC-U-074","Quality","Deviation detector flags outliers","Numeric column","Run deviation detector","Outliers flagged","unit","Medium","Current"
"TC-U-075","Config","Config loader parses JSON mapping","Customer mapping JSON","ConfigLoader.load_mapping","Mapping document returned","unit","High","Current"
"TC-U-076","Config","BA rules template converter (CSV->JSON)","Standard rules CSV","Convert","JSON rules emitted with all types","unit","High","Current"
"TC-U-077","Config","Template converter preserves string literals","Mapping with quoted defaults","Convert","Literal preserved (ADR 0007)","unit","High","Current"
"TC-U-078","Config","Universal mapping schema validates","Universal JSON","Validate against schema","Schema valid","unit","High","Current"
"TC-U-079","Config","Fixed-width multitype normalizer","Mixed-width mapping","Normalize","All record types normalized","unit","High","Current"
"TC-U-080","Config","Profile validator rejects bad pipeline","Bad pipeline YAML","Validate","Error reported","unit","Medium","Current"
"TC-U-081","E2E-Harness","Baseline resolver loads manifest","baselines/manifest.json","Resolve baseline","Returns expected entry","unit","High","Current"
"TC-U-082","E2E-Harness","Promote baseline appends manifest entry","Approved run output","Run promote_baseline","Manifest grows by one row","unit","High","Current"
"TC-U-083","E2E-Harness","JSONL logger thread-safe append","Concurrent writes","Write 100 events","All 100 lines present","unit","High","Current"
"TC-U-084","E2E-Harness","Path resolver classifies filename","filename_patterns set","classify trigger file","Returns (source,file_type,direction)","unit","High","Current"
"TC-U-085","E2E-Harness","Secret resolver reads env","SECRETS_PROVIDER=env","Resolve ORACLE_PASSWORD","Value returned","unit","High","Current"
"TC-U-086","E2E-Harness","Ignore-field filter blanks fields","Tolerance fields list","Run filter","Both files blanked at positions","unit","High","Current"
"TC-U-087","E2E-Harness","Split pipeline emits per-phase YAML","Single pipeline","Split","Per-phase YAML files written","unit","High","Current"
"TC-U-088","E2E-Harness","Watch wrapper poll interval honoured","poll_interval=5","Run watcher --once","No sleep > interval","unit","Medium","Current"
"TC-U-089","Contracts","Task request schema validates","Valid payload","validate_task_request()","Returns no errors","unit","High","Current"
"TC-U-090","Contracts","Task result schema validates","Valid result","Validate","No errors","unit","High","Current"
"TC-U-091","Contracts","Idempotency key dedup","Same key twice","Submit task","Second returns first result","unit","High","Current"
"TC-U-092","Contracts","Pipeline contract round-trips","Pipeline definition","Encode then decode","Equal to source","unit","Medium","Current"
"TC-U-093","Negative","Truncated file detected","Half-written file","Parse","Error reported with row number","unit","High","Current"
"TC-U-094","Negative","Mixed line endings","File with CRLF+LF mix","Parse","Lines counted correctly","unit","Medium","Current"
"TC-U-095","Negative","Extra columns rejected","File with extra column","Parse with strict mapping","Violation","unit","Medium","Current"
"TC-U-096","Negative","Missing columns rejected","File missing required column","Parse","Violation","unit","High","Current"
"TC-U-097","Negative","API upload wrong extension","Upload .exe","POST upload","Rejected","unit","Medium","Current"
"TC-U-098","Negative","API compare only one file","Single file","POST compare","422 missing field","unit","Medium","Current"
"TC-U-099","UI","Web UI loads /ui","Server running","GET /ui","HTML returned","unit","Medium","Current"
"TC-U-100","UI","UI config controls tab visibility","ui.yml tabs map","Load /ui","Hidden tabs absent","unit","Medium","Current"
"TC-U-101","UI","Chart.js bundled (offline)","No internet","Load /ui","Chart renders","unit","Medium","Current"
"TC-I-001","Integration","API files end-to-end via TestClient","FastAPI app","Run integration suite","All file endpoints green","integration","High","Current"
"TC-I-002","Integration","API system endpoints","FastAPI app","Run integration","health/db-profiles green","integration","High","Current"
"TC-I-003","Integration","BA rules round-trip CSV->JSON->CSV","Standard CSV","Convert both ways","Stable round-trip","integration","High","Current"
"TC-I-004","Integration","Chunked business rules report model","Large file","Run chunked","Report model populated","integration","Medium","Current"
"TC-I-005","Integration","E2E failure sink writes audit row","Oracle reachable","Trigger failure","Row in AUDIT.VALDO_RUN_FAILURES","integration","High","Current"
"TC-I-006","Integration","Report parity matrix","Same inputs","Render all variants","Field-level parity","integration","High","Current"
"TC-E-001","E2E-UI","Login page renders and accepts creds","auth.enabled=true","Visit /auth/login then submit","Redirected to /ui","e2e","High","Current"
"TC-E-002","E2E-UI","Quick Test validate file","Mapping configured","Drop file, click Validate","Metrics tiles populate","e2e","High","Current"
"TC-E-003","E2E-UI","Quick Test compare two files","Two files","Drop both, click Compare","HTML report opens","e2e","High","Current"
"TC-E-004","E2E-UI","Recent Runs renders history","Past runs exist","Open Recent Runs tab","Table + trend chart","e2e","Medium","Current"
"TC-E-005","E2E-UI","Mapping Generator from Excel","Excel template","Drop file, generate","JSON preview populated","e2e","High","Current"
"TC-E-006","E2E-UI","Multi-record wizard 5 steps","Mappings dir","Walk wizard end-to-end","YAML downloadable","e2e","High","Current"
"TC-E-007","E2E-UI","API Tester saves request","Suite created","Fill request, save","Request persisted","e2e","Medium","Current"
"TC-E-008","E2E-UI","API Tester cross-tab share","Saved suite","Use suite from runner","Runs and reports","e2e","Medium","Current"
"TC-E-009","E2E-UI","DB Compare named connection","db_connections.yaml entry","Select profile, run","Metrics shown","e2e","High","Current"
"TC-E-010","E2E-UI","DB Compare apply transforms","Mapping with transforms","Toggle apply, run","Transformed values matched","e2e","Medium","Current"
"TC-E-011","E2E-UI","File Downloader browse path","downloader.enabled=true","Open File Downloader","Listing populates","e2e","Medium","Current"
"TC-E-012","E2E-UI","File Downloader search by content","Path with text files","Search 'ERROR'","Matching files surfaced","e2e","Medium","Current"
"TC-E-013","E2E-UI","File Downloader kill long search (#11)","Long search running","Click Stop","Search cancelled in <5s","e2e","High","Current"
"TC-E-014","E2E-UI","File Downloader archive search","Archive at archive_base_dir","Run archive search","Results returned","e2e","Medium","Current"
"TC-E-015","E2E-UI","Help sidebar opens with TOC","UI loaded","Click Help","Sidebar with TOC visible","e2e","Low","Current"
"TC-E-016","E2E-UI","Drift badge surfaces drifted fields","Mapping drift present","Run validate","Drift badge shown","e2e","Medium","Current"
"TC-E-017","E2E-UI","Download errors button works","Validation with errors","Click Download","CSV downloads","e2e","Medium","Current"
"TC-F-001","Future-Parsers","TSV format detection coverage","TSV sample","Detect format","tsv with confidence reported","unit","Medium","Future"
"TC-F-002","Future-Parsers","Format detector negative cases","Binary file","Detect","Returns unknown gracefully","unit","Medium","Future"
"TC-F-003","Future-Parsers","Parser handles BOM-prefixed UTF-8","File starting with BOM","Parse","BOM stripped; columns intact","unit","Medium","Future"
"TC-F-004","Future-Validators","valid_values rule type","Mapping with valid_values","Validate row outside set","Violation reported","unit","High","Future"
"TC-F-005","Future-Validators","exact_length rule type","Mapping with exact_length","Validate field of wrong length","Violation reported","unit","High","Future"
"TC-F-006","Future-Validators","date_format rule edge cases","Various locale formats","Validate","Documented format only accepted","unit","High","Future"
"TC-F-007","Future-Multi-Record","TRANERT VR (32030) record type","Workbook updated","Validate file with code 32030","Routed to VR mapping","unit","High","Future"
"TC-F-008","Future-Multi-Record","TRANERT CON (32070) record type","Workbook updated","Validate file with code 32070","Routed to CON mapping","unit","High","Future"
"TC-F-009","Future-Multi-Record","DR-CR-AMT-BRT reconciliation","Per-record amount fields defined","Validate","Cross-type sum check passes/fails","unit","High","Future"
"TC-F-010","Future-Multi-Record","Sequence ordering across record types","Sample with bad order","Validate","Out-of-order rows flagged","unit","Medium","Future"
"TC-F-011","Future-DB","PostgreSQL adapter live smoke","PG container","Reconcile + extract","Round-trip ok","integration","Medium","Future"
"TC-F-012","Future-DB","SQLite adapter live smoke","SQLite file","Reconcile + extract","Round-trip ok","integration","Medium","Future"
"TC-F-013","Future-DB","db_compare on PostgreSQL","PG + mapping","Run db-compare","Result parity vs Oracle","integration","Medium","Future"
"TC-F-014","Future-API","RBAC enforcement matrix per route","auth.enabled + roles","Hit each route as each role","Allowed/denied per matrix","unit","High","Future"
"TC-F-015","Future-API","Webhook signature verification","HMAC signing key","Replay request","Replays rejected","unit","High","Future"
"TC-F-016","Future-API","Rate limiting on /auth/login","Many bad attempts","Hammer endpoint","Throttled after N","unit","High","Future"
"TC-F-017","Future-API","Concurrent upload safety","Two parallel uploads","Same target name","Last-write-wins documented","unit","Medium","Future"
"TC-F-018","Future-Auth","LDAP group membership refresh","Group changed mid-session","Hit protected route","Old role used until logout (documented)","unit","Medium","Future"
"TC-F-019","Future-Auth","Session absolute lifetime expiry","max_age_minutes=1","Wait 2 minutes","401 after expiry","unit","High","Future"
"TC-F-020","Future-Security","TLS strategy enterprise_ca live","CA API reachable","Resolve TLS","Cert fetched and chmod ok","integration","Medium","Future"
"TC-F-021","Future-Security","TLS expiry warning threshold","Cert expiring in <30d","Resolve","Warning emitted","unit","Medium","Future"
"TC-F-022","Future-Security","Vault secrets provider","SECRETS_PROVIDER=vault","Resolve secret","Value returned (no plain-text leak)","unit","High","Future"
"TC-F-023","Future-Reporting","Splunk JSONL audit format pinned","Audit event","Emit","Schema matches splunk-setup.md","unit","Medium","Future"
"TC-F-024","Future-Reporting","Trend chart aggregates per suite","Multiple runs","Open trend chart","Per-suite series shown","e2e","Medium","Future"
"TC-F-025","Future-Workflows","valdo regenerate CLI","CLI not yet implemented","Run regenerate","Regenerated output (per harness gap)","unit","High","Future"
"TC-F-026","Future-Workflows","valdo compare --ignore-fields","CLI not yet implemented","Compare with --ignore-fields","Fields blanked before diff (per harness gap)","unit","High","Future"
"TC-F-027","Future-Workflows","valdo run-etl-pipeline --gate filter","CLI not yet implemented","Run with --gate L1","Only L1 executes","unit","Medium","Future"
"TC-F-028","Future-Workflows","Shell-step type in pipeline YAML","Pipeline runner update","Use shell step","Step executes as documented","unit","Medium","Future"
"TC-F-029","Future-Workflows","Native compare_multi_record","ADR 0005 deferred","Compare ATOCTRAN files","Per-record-type tolerance","unit","Medium","Future"
"TC-F-030","Future-Quality","GX Checkpoint 2 (referential)","Targets + FK expectations","Run","Referential checks","unit","Medium","Future"
"TC-F-031","Future-E2E-Harness","Vault adapter for secret_resolver","SECRETS_PROVIDER=vault","Resolve","No env-var fallback unless allowed","unit","High","Future"
"TC-F-032","Future-E2E-Harness","prod env overlay","paths.yml + prod block","Run","Prod paths resolved","unit","Medium","Future"
"TC-F-033","Future-E2E-Harness","Roll-up index strict mode","Failed non-blocking gate","build_rollup_index --strict","Exits 2","unit","Medium","Future"
"TC-F-034","Future-UI","DBC export diff CSV","DB Compare result","Click Download Diff","CSV downloads","e2e","Medium","Future"
"TC-F-035","Future-UI","Accessibility audit (WCAG 2.1 AA)","Full UI","Run axe-core scan","Zero serious violations","e2e","High","Future"
"TC-F-036","Future-UI","Mobile responsive layout","< 720px viewport","Visit each tab","No horizontal scroll","e2e","Medium","Future"
"TC-F-037","Future-UI","Dark/light theme persists","localStorage","Toggle then reload","Choice preserved","e2e","Low","Future"
"TC-F-038","Future-Negative","Oracle DSN typo behaviour","Bad DSN","valdo reconcile","Clear error; no stack to user","unit","Medium","Future"
"TC-F-039","Future-Negative","Webhook callback to private IP","callback to 10.x","POST webhook","Rejected by SSRF guard","unit","High","Future"
"TC-F-040","Future-Negative","Mapping with circular cross_field","Bad mapping","Load","Error at parse time","unit","Medium","Future"
"TC-F-041","Future-Contracts","TaskRequest deadline in past","deadline=yesterday","Submit","Rejected with code","unit","Medium","Future"
"TC-F-042","Future-Contracts","TaskResult version v2 negotiation","Future schema bump","Submit","v1 still works","unit","Low","Future"
"TC-F-043","Future-Docs","CLI help parity with USAGE_GUIDE.md","All commands","Diff --help vs guide","No drift","unit","Low","Future"
"TC-F-044","Future-Docs","ADR linked from changelog","ADRs 0001-0007","Lint","All referenced","unit","Low","Future"
"TC-F-045","Future-Operations","Disk-full graceful behaviour","Fill disk","Run validate","Useful error; no half-written report","integration","Medium","Future"
"TC-F-046","Future-Operations","Audit JSONL rotation","Long-running daemon","Run >max size","Rotated cleanly","integration","Medium","Future"
